GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "00999","United States (Nonmetropolitan Portion)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",82.185,82.196,85.449,87.342,89.077,90.638,91.833,91.841,91.860,93.238,96.929,98.489,98.996
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",88.177,85.689,90.831,92.075,94.444,93.568,98.268,97.161,98.876,100.475,101.593,102.079,105.044
 "10420","Akron, OH (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",87.019,89.597,90.074,92.443,96.010,97.278,98.862,98.288,98.953,101.492,102.095,103.863,103.398
 "10500","Albany, GA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",82.287,82.317,84.831,87.381,88.596,90.345,91.818,92.168,93.953,93.839,95.056,93.889,94.126
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",94.550,94.126,91.840,94.526,97.169,99.129,101.503,102.439,103.648,106.066,111.894,112.746,113.079
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",96.028,95.099,95.723,98.242,99.749,101.839,101.528,104.460,104.804,106.876,107.852,109.253,111.555
 "10740","Albuquerque, NM (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",91.208,93.172,92.972,98.010,99.479,99.467,100.995,99.125,100.052,104.078,101.950,105.406,104.873
 "10780","Alexandria, LA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",85.997,83.509,87.266,87.604,92.719,94.291,95.319,95.592,97.836,97.316,96.886,99.942,102.088
 "10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",95.392,96.035,95.735,97.719,100.283,102.560,102.138,104.167,105.294,106.966,107.533,108.393,110.250
 "11020","Altoona, PA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",86.645,85.909,89.980,90.968,92.061,93.388,91.386,92.928,95.787,97.248,99.214,98.962,100.270
 "11100","Amarillo, TX (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",90.694,88.813,91.143,95.245,96.871,98.433,99.666,100.311,101.544,102.464,101.732,104.291,106.967
 "11180","Ames, IA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",80.223,84.956,90.086,90.881,92.907,95.773,96.293,94.772,94.919,96.564,103.238,104.882,105.413
 "11260","Anchorage, AK (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",102.016,105.103,101.755,105.698,107.543,106.473,108.246,109.120,112.682,114.578,115.357,114.660,115.986
