GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "00000","United States", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",13226438104,12835528512,13145590371,13578992118,14003346000,13999660322,14549525541,15207440020,15451718336,15883838361,16323319245,16740966295,17628679929
 "00999","United States (Nonmetropolitan Portion)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",1759296813,1726603797,1734117891,1793356792,1816098135,1818106548,1856006720,1901557051,1905310690,1940943207,1937183350,1974120571,2115441032
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",6516280,6417653,6405368,6708568,6860195,7126927,7276677,7177769,6956803,7048707,7444927,7857445,8267776
 "10420","Akron, OH (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",31299301,29496788,30208038,30602854,30344944,30606195,31494725,32594998,32822702,33296567,34431634,35130005,37353892
 "10500","Albany, GA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",5457088,5560486,5561427,5774623,5723514,5542406,5559543,5646138,5581975,5705634,5760768,6074927,6620352
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",3781856,3783652,4035610,4049304,4072661,4050259,4234773,4482576,4637288,4798968,4893808,5071032,5589856
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",38513111,39127860,40504980,40889483,41669065,41611971,43277796,44276423,44918753,46437907,47431086,48890008,51483582
 "10740","Albuquerque, NM (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",33357464,32558846,33186391,32806035,32702839,32310510,33659826,35602242,36613791,35916188,37956073,38460693,41949660
 "10780","Alexandria, LA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",6259519,6366842,6213751,6513508,6457667,6366613,6411123,6484197,6431323,6513368,6766596,6793290,7113849
 "10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",36372133,34859293,36383787,36877527,36557481,36214851,37899598,38915252,39746140,40357981,42117684,43270950,45624667
 "11020","Altoona, PA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",4914698,5020125,4965605,5204421,5232687,5129124,5450521,5624776,5527918,5592678,5732222,5881292,6312115
 "11100","Amarillo, TX (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",10009468,9922444,10599067,10836106,10975326,10993841,11484111,11504584,11373255,11684069,12214123,12466504,12750572
 "11180","Ames, IA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",5246530,4742129,4465454,4773579,5152287,4874399,5042264,5283084,5306186,5336910,5213163,5347251,5601492
 "11260","Anchorage, AK (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",18648921,18104872,20004146,20359003,20532151,20446595,21255635,21910591,20810411,20730447,21360250,21977704,22321444
 "11460","Ann Arbor, MI (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",15866719,15064504,16565733,16141857,16948015,16894279,17257698,18670727,19530765,20081943,20358210,20496877,21264590
