GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "00000","United States", ,MARPP,1,"...","RPPs: All items","Index",100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
 "00999","United States (Nonmetropolitan Portion)", ,MARPP,1,"...","RPPs: All items","Index",87.129,87.385,89.244,88.970,89.077,89.427,89.256,89.066,88.201,87.918,89.485,89.599,89.005
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items","Index",93.481,91.098,94.866,93.792,94.444,92.318,95.511,94.226,94.938,94.742,93.791,92.865,94.443
 "10420","Akron, OH (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items","Index",92.254,95.252,94.075,94.167,96.010,95.978,96.088,95.319,95.011,95.700,94.255,94.488,92.963
 "10500","Albany, GA (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items","Index",87.237,87.513,88.599,89.010,88.596,89.138,89.241,89.383,90.211,88.485,87.756,85.414,84.627
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items","Index",100.238,100.068,95.919,96.289,97.169,97.805,98.655,99.344,99.519,100.014,103.301,102.569,101.667
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items","Index",101.805,101.102,99.975,100.073,99.749,100.478,98.679,101.304,100.629,100.778,99.569,99.392,100.297
 "10740","Albuquerque, NM (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items","Index",96.695,99.054,97.102,99.837,99.479,98.139,98.161,96.130,96.067,98.139,94.121,95.892,94.290
 "10780","Alexandria, LA (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items","Index",91.170,88.780,91.142,89.238,92.719,93.031,92.645,92.704,93.939,91.763,89.446,90.921,91.785
 "10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items","Index",101.130,102.097,99.987,99.541,100.283,101.190,99.273,101.020,101.100,100.862,99.275,98.609,99.124
