GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "01998","Alabama (Metropolitan Portion)",5,PAIRPD,1,"...","Implicit regional price deflator","Index",86.788,85.848,88.982,91.628,93.560,94.377,95.636,95.072,97.166,98.104,96.959,99.620,101.019
 "01999","Alabama (Nonmetropolitan Portion)",5,PAIRPD,1,"...","Implicit regional price deflator","Index",77.492,75.442,80.091,81.305,83.299,84.699,86.846,86.097,86.973,87.670,89.216,91.883,92.982
 "02998","Alaska (Metropolitan Portion)",8,PAIRPD,1,"...","Implicit regional price deflator","Index",101.700,103.716,101.165,105.058,106.121,105.696,107.688,108.871,111.531,113.948,115.295,114.562,115.892
 "02999","Alaska (Nonmetropolitan Portion)",8,PAIRPD,1,"...","Implicit regional price deflator","Index",96.995,95.094,95.835,99.415,97.904,100.377,103.552,104.972,104.431,109.081,110.778,111.598,112.350
 "04998","Arizona (Metropolitan Portion)",6,PAIRPD,1,"...","Implicit regional price deflator","Index",97.514,98.107,96.904,97.980,98.953,100.563,101.439,101.354,103.625,104.484,106.366,108.901,111.053
 "04999","Arizona (Nonmetropolitan Portion)",6,PAIRPD,1,"...","Implicit regional price deflator","Index",86.124,85.208,86.316,87.507,85.926,89.285,87.443,90.576,89.515,91.830,90.132,90.532,89.075
 "05998","Arkansas (Metropolitan Portion)",5,PAIRPD,1,"...","Implicit regional price deflator","Index",86.805,85.334,88.241,91.341,92.913,94.122,95.213,95.500,96.862,97.802,97.771,99.306,101.361
 "05999","Arkansas (Nonmetropolitan Portion)",5,PAIRPD,1,"...","Implicit regional price deflator","Index",79.271,77.340,81.473,84.049,85.068,86.611,87.765,87.433,87.494,88.403,91.563,93.150,95.042
 "06998","California (Metropolitan Portion)",8,PAIRPD,1,"...","Implicit regional price deflator","Index",103.877,102.928,103.873,106.267,108.745,109.974,111.744,112.880,113.322,116.621,120.206,120.970,123.000
 "06999","California (Nonmetropolitan Portion)",8,PAIRPD,1,"...","Implicit regional price deflator","Index",95.830,93.636,94.713,97.213,96.082,98.255,98.869,102.120,99.763,106.047,108.272,110.974,111.146
 "08998","Colorado (Metropolitan Portion)",7,PAIRPD,1,"...","Implicit regional price deflator","Index",97.400,96.265,96.327,101.181,103.717,105.028,105.849,106.308,107.050,109.311,108.759,112.821,115.543
 "08999","Colorado (Nonmetropolitan Portion)",7,PAIRPD,1,"...","Implicit regional price deflator","Index",95.332,93.778,93.972,96.563,96.924,99.615,100.140,103.023,102.159,105.737,102.273,107.187,106.333
 "09998","Connecticut (Metropolitan Portion)",1,PAIRPD,1,"...","Implicit regional price deflator","Index",103.186,102.870,101.763,105.239,106.630,108.413,109.728,109.900,111.155,112.913,111.756,113.174,115.116
 "09999","Connecticut (Nonmetropolitan Portion)",1,PAIRPD,1,"...","Implicit regional price deflator","Index",99.771,98.893,96.994,100.258,101.518,104.041,105.402,106.406,107.621,110.084,108.398,112.089,113.915
 "10998","Delaware (Metropolitan Portion)",2,PAIRPD,1,"...","Implicit regional price deflator","Index",95.072,95.875,97.317,98.951,99.545,100.154,102.970,101.821,103.167,104.354,106.116,108.737,108.858
 "10999","Delaware (Nonmetropolitan Portion)",2,PAIRPD,1,"...","Implicit regional price deflator","Index",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 "11998","District of Columbia (Metropolitan Portion)",2,PAIRPD,1,"...","Implicit regional price deflator","Index",105.527,105.599,108.276,110.335,110.715,114.780,116.658,115.951,115.283,116.005,120.138,119.881,123.970
 "11999","District of Columbia (Nonmetropolitan Portion)",2,PAIRPD,1,"...","Implicit regional price deflator","Index",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 "12998","Florida (Metropolitan Portion)",5,PAIRPD,1,"...","Implicit regional price deflator","Index",96.340,95.259,96.784,99.683,101.599,102.645,104.206,104.991,105.974,107.762,109.338,110.093,112.280
 "12999","Florida (Nonmetropolitan Portion)",5,PAIRPD,1,"...","Implicit regional price deflator","Index",85.821,83.626,87.846,89.891,91.163,93.219,94.971,94.103,95.367,95.705,99.316,101.655,102.662
 "13998","Georgia (Metropolitan Portion)",5,PAIRPD,1,"...","Implicit regional price deflator","Index",91.071,88.370,92.703,93.864,97.573,98.306,99.826,99.671,101.203,103.380,104.584,105.859,106.836
 "13999","Georgia (Nonmetropolitan Portion)",5,PAIRPD,1,"...","Implicit regional price deflator","Index",79.753,78.108,82.681,83.956,85.746,87.344,88.364,89.067,89.150,90.181,94.066,94.572,95.040
 "15998","Hawaii (Metropolitan Portion)",8,PAIRPD,1,"...","Implicit regional price deflator","Index",104.291,107.494,106.784,109.935,111.263,115.346,116.170,116.482,117.099,118.294,120.684,123.492,125.794
 "15999","Hawaii (Nonmetropolitan Portion)",8,PAIRPD,1,"...","Implicit regional price deflator","Index",99.857,96.801,98.648,98.511,99.758,103.297,104.068,107.277,106.706,109.379,112.905,117.503,119.235
 "16998","Idaho (Metropolitan Portion)",7,PAIRPD,1,"...","Implicit regional price deflator","Index",89.689,90.472,89.923,93.475,94.791,95.694,97.391,97.992,97.375,101.782,100.294,103.224,102.485
 "16999","Idaho (Nonmetropolitan Portion)",7,PAIRPD,1,"...","Implicit regional price deflator","Index",89.838,88.035,87.427,90.945,90.508,92.176,95.585,95.706,94.699,97.574,96.472,99.175,98.479
 "17998","Illinois (Metropolitan Portion)",3,PAIRPD,1,"...","Implicit regional price deflator","Index",96.931,97.891,99.240,102.226,102.937,103.745,104.446,103.817,105.916,108.728,110.685,111.117,113.550
 "17999","Illinois (Nonmetropolitan Portion)",3,PAIRPD,1,"...","Implicit regional price deflator","Index",76.755,79.273,83.906,85.032,87.902,87.633,89.561,89.140,87.980,89.213,94.970,96.680,96.115
 "18998","Indiana (Metropolitan Portion)",3,PAIRPD,1,"...","Implicit regional price deflator","Index",90.022,89.586,91.344,92.882,94.542,96.280,97.533,96.651,97.880,98.856,102.290,103.923,104.173
 "18999","Indiana (Nonmetropolitan Portion)",3,PAIRPD,1,"...","Implicit regional price deflator","Index",78.318,80.430,84.356,85.906,88.345,89.010,91.241,89.454,89.076,90.671,96.403,98.001,97.924
 "19998","Iowa (Metropolitan Portion)",4,PAIRPD,1,"...","Implicit regional price deflator","Index",88.857,88.717,90.823,91.897,94.179,95.703,97.954,96.067,97.158,98.252,101.247,103.349,103.738
 "19999","Iowa (Nonmetropolitan Portion)",4,PAIRPD,1,"...","Implicit regional price deflator","Index",75.833,78.638,83.280,84.430,87.060,88.788,89.793,87.630,89.214,89.790,95.943,97.093,97.199
 "20998","Kansas (Metropolitan Portion)",4,PAIRPD,1,"...","Implicit regional price deflator","Index",89.285,89.797,91.881,94.211,96.488,97.558,99.160,99.314,99.656,100.810,102.587,104.334,104.866
