GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "00000","United States", ,PARPP,1,"...","RPPs: All items","Index",100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
 "01998","Alabama (Metropolitan Portion)",5,PARPP,1,"...","RPPs: All items","Index",92.009,91.267,92.935,93.336,93.560,93.116,92.953,92.199,93.296,92.506,89.513,90.628,90.824
 "01999","Alabama (Nonmetropolitan Portion)",5,PARPP,1,"...","RPPs: All items","Index",82.154,80.205,83.649,82.821,83.299,83.567,84.409,83.495,83.509,82.668,82.365,83.589,83.598
 "02998","Alaska (Metropolitan Portion)",8,PARPP,1,"...","RPPs: All items","Index",107.819,110.263,105.658,107.017,106.121,104.284,104.667,105.581,107.089,107.446,106.441,104.221,104.196
 "02999","Alaska (Nonmetropolitan Portion)",8,PARPP,1,"...","RPPs: All items","Index",102.830,101.097,100.092,101.269,97.904,99.036,100.647,101.800,100.271,102.857,102.270,101.525,101.011
 "04998","Arizona (Metropolitan Portion)",6,PARPP,1,"...","RPPs: All items","Index",103.380,104.300,101.209,99.807,98.953,99.219,98.593,98.292,99.497,98.522,98.198,99.071,99.846
 "04999","Arizona (Nonmetropolitan Portion)",6,PARPP,1,"...","RPPs: All items","Index",91.306,90.587,90.150,89.138,85.926,88.092,84.990,87.839,85.950,86.590,83.210,82.361,80.086
 "05998","Arkansas (Metropolitan Portion)",5,PARPP,1,"...","RPPs: All items","Index",92.027,90.721,92.161,93.044,92.913,92.865,92.541,92.615,93.004,92.221,90.263,90.342,91.132
 "05999","Arkansas (Nonmetropolitan Portion)",5,PARPP,1,"...","RPPs: All items","Index",84.040,82.222,85.092,85.617,85.068,85.454,85.302,84.791,84.009,83.358,84.532,84.742,85.450
 "06998","California (Metropolitan Portion)",8,PARPP,1,"...","RPPs: All items","Index",110.126,109.425,108.487,108.248,108.745,108.505,108.609,109.470,108.808,109.967,110.974,110.050,110.587
 "06999","California (Nonmetropolitan Portion)",8,PARPP,1,"...","RPPs: All items","Index",101.595,99.547,98.920,99.026,96.082,96.943,96.095,99.035,95.790,99.996,99.957,100.957,99.929
 "08998","Colorado (Metropolitan Portion)",7,PARPP,1,"...","RPPs: All items","Index",103.259,102.341,100.606,103.068,103.717,103.625,102.879,103.096,102.786,103.074,100.407,102.638,103.883
 "08999","Colorado (Nonmetropolitan Portion)",7,PARPP,1,"...","RPPs: All items","Index",101.067,99.697,98.146,98.363,96.924,98.284,97.331,99.910,98.090,99.703,94.419,97.511,95.602
 "09998","Connecticut (Metropolitan Portion)",1,PARPP,1,"...","RPPs: All items","Index",109.394,109.364,106.284,107.202,106.630,106.964,106.650,106.580,106.728,106.471,103.173,102.958,103.499
 "09999","Connecticut (Nonmetropolitan Portion)",1,PARPP,1,"...","RPPs: All items","Index",105.774,105.136,101.302,102.127,101.518,102.651,102.445,103.191,103.334,103.803,100.073,101.971,102.419
 "10998","Delaware (Metropolitan Portion)",2,PARPP,1,"...","RPPs: All items","Index",100.792,101.927,101.639,100.796,99.545,98.816,100.081,98.745,99.058,98.399,97.967,98.922,97.872
 "10999","Delaware (Nonmetropolitan Portion)",2,PARPP,1,"...","RPPs: All items","Index",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 "11998","District of Columbia (Metropolitan Portion)",2,PARPP,1,"...","RPPs: All items","Index",111.876,112.264,113.086,112.393,110.715,113.246,113.385,112.448,110.691,109.386,110.912,109.060,111.459
 "11999","District of Columbia (Nonmetropolitan Portion)",2,PARPP,1,"...","RPPs: All items","Index",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 "12998","Florida (Metropolitan Portion)",5,PARPP,1,"...","RPPs: All items","Index",102.135,101.272,101.083,101.542,101.599,101.274,101.282,101.819,101.753,101.613,100.941,100.155,100.949
 "12999","Florida (Nonmetropolitan Portion)",5,PARPP,1,"...","RPPs: All items","Index",90.984,88.905,91.748,91.567,91.163,91.973,92.306,91.260,91.568,90.244,91.689,92.479,92.302
 "13998","Georgia (Metropolitan Portion)",5,PARPP,1,"...","RPPs: All items","Index",96.549,93.948,96.821,95.614,97.573,96.992,97.026,96.659,97.172,97.481,96.552,96.304,96.054
 "13999","Georgia (Nonmetropolitan Portion)",5,PARPP,1,"...","RPPs: All items","Index",84.551,83.038,86.353,85.522,85.746,86.178,85.885,86.376,85.599,85.036,86.842,86.035,85.449
 "15998","Hawaii (Metropolitan Portion)",8,PARPP,1,"...","RPPs: All items","Index",110.565,114.280,111.527,111.985,111.263,113.805,112.911,112.962,112.435,111.544,111.416,112.346,113.099
 "15999","Hawaii (Nonmetropolitan Portion)",8,PARPP,1,"...","RPPs: All items","Index",105.865,102.912,103.030,100.347,99.758,101.917,101.148,104.036,102.456,103.138,104.234,106.897,107.202
 "16998","Idaho (Metropolitan Portion)",7,PARPP,1,"...","RPPs: All items","Index",95.084,96.183,93.917,95.218,94.791,94.416,94.659,95.031,93.496,95.975,92.592,93.907,92.142
 "16999","Idaho (Nonmetropolitan Portion)",7,PARPP,1,"...","RPPs: All items","Index",95.243,93.592,91.310,92.641,90.508,90.944,92.903,92.814,90.927,92.006,89.063,90.223,88.540
 "17998","Illinois (Metropolitan Portion)",3,PARPP,1,"...","RPPs: All items","Index",102.762,104.070,103.648,104.132,102.937,102.359,101.516,100.680,101.697,102.524,102.185,101.087,102.090
 "17999","Illinois (Nonmetropolitan Portion)",3,PARPP,1,"...","RPPs: All items","Index",81.372,84.277,87.633,86.617,87.902,86.462,87.049,86.446,84.475,84.122,87.677,87.953,86.415
 "18998","Indiana (Metropolitan Portion)",3,PARPP,1,"...","RPPs: All items","Index",95.438,95.241,95.401,94.614,94.542,94.994,94.797,93.731,93.981,93.215,94.435,94.542,93.660
 "18999","Indiana (Nonmetropolitan Portion)",3,PARPP,1,"...","RPPs: All items","Index",83.030,85.508,88.103,87.508,88.345,87.821,88.681,86.751,85.528,85.497,89.000,89.155,88.041
 "19998","Iowa (Metropolitan Portion)",4,PARPP,1,"...","RPPs: All items","Index",94.203,94.317,94.857,93.610,94.179,94.424,95.206,93.164,93.288,92.646,93.472,94.020,93.269
 "19999","Iowa (Nonmetropolitan Portion)",4,PARPP,1,"...","RPPs: All items","Index",80.395,83.602,86.980,86.005,87.060,87.602,87.273,84.983,85.660,84.667,88.575,88.329,87.390
 "20998","Kansas (Metropolitan Portion)",4,PARPP,1,"...","RPPs: All items","Index",94.656,95.465,95.962,95.967,96.488,96.254,96.378,96.313,95.687,95.058,94.708,94.917,94.283
