"SARPP Regional Price Parities by state"
"(index)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"00000","United States","1","RPPs: All items",100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
"00000","United States","2","  RPPs: Goods",99.577,99.541,99.620,99.608,99.622,99.629,99.652,99.650,99.649,99.630,99.607,99.645,99.650
"00000","United States","3","  RPPs: Services: Housing",100.303,100.348,100.298,100.325,100.301,100.312,100.259,100.297,100.292,100.301,100.299,100.275,100.404
"00000","United States","4","  RPPs: Services: Utilities",98.095,97.936,98.181,98.172,98.335,98.449,98.367,98.298,98.238,98.240,98.221,98.212,98.230
"00000","United States","5","  RPPs: Services: Other",100.318,100.316,100.266,100.269,100.252,100.238,100.242,100.223,100.219,100.226,100.242,100.220,100.199
"01000","Alabama","1","RPPs: All items",89.757,88.685,90.772,90.849,91.156,90.932,91.005,90.259,91.122,90.296,87.968,89.096,89.252
"01000","Alabama","2","  RPPs: Goods",96.050,94.076,96.391,95.942,95.197,96.224,96.225,95.168,96.014,95.558,92.237,94.408,95.136
"01000","Alabama","3","  RPPs: Services: Housing",60.372,60.124,62.098,61.242,62.543,61.666,60.914,59.570,60.710,60.664,59.798,59.953,60.064
"01000","Alabama","4","  RPPs: Services: Utilities",115.091,121.324,124.321,120.379,116.235,116.090,117.455,116.325,117.450,113.532,116.546,118.421,118.434
"01000","Alabama","5","  RPPs: Services: Other",97.731,96.685,98.339,99.729,100.723,99.823,99.862,100.059,100.648,99.158,96.211,97.127,97.802
"02000","Alaska","1","RPPs: All items",106.228,107.289,103.817,105.107,103.550,102.644,103.412,104.430,105.048,106.041,105.169,103.417,103.239
"02000","Alaska","2","  RPPs: Goods",106.009,105.817,104.185,103.649,101.652,100.261,100.002,104.571,107.471,107.907,103.009,100.063,100.549
"02000","Alaska","3","  RPPs: Services: Housing",120.098,125.287,119.202,125.199,123.610,121.457,127.012,125.302,120.786,119.538,111.852,107.927,107.560
"02000","Alaska","4","  RPPs: Services: Utilities",105.232,114.075,101.460,104.993,114.692,103.774,101.678,106.979,108.408,116.067,110.980,109.049,109.077
"02000","Alaska","5","  RPPs: Services: Other",103.012,103.639,100.090,101.341,99.691,99.626,100.259,99.821,100.323,101.834,104.445,103.786,103.347
"04000","Arizona","1","RPPs: All items",102.793,103.615,100.639,99.287,98.414,98.764,98.052,97.901,98.968,98.072,97.638,98.439,99.071
"04000","Arizona","2","  RPPs: Goods",103.039,106.500,100.182,99.031,98.310,97.603,97.817,98.574,98.031,97.373,96.266,95.963,99.498
"04000","Arizona","3","  RPPs: Services: Housing",103.716,102.287,97.191,95.730,95.717,94.485,93.518,94.148,93.712,94.235,94.801,95.635,95.625
"04000","Arizona","4","  RPPs: Services: Utilities",101.069,102.623,103.834,104.467,109.644,107.641,102.003,103.761,106.940,106.504,102.679,102.866,102.896
"04000","Arizona","5","  RPPs: Services: Other",102.379,102.206,102.121,100.507,98.798,100.686,99.645,98.413,101.065,99.415,99.261,100.871,99.852
