Series ID,Year,Period,Label,Value
CUUSS35ESA0,1984,S01,1984 Half1,103.7
CUUSS35ESA0,1984,S02,1984 Half2,105.4
CUUSS35ESA0,1985,S01,1985 Half1,107.1
CUUSS35ESA0,1985,S02,1985 Half2,109.3
CUUSS35ESA0,1986,S01,1986 Half1,110.5
CUUSS35ESA0,1986,S02,1986 Half2,111.3
CUUSS35ESA0,1987,S01,1987 Half1,112.8
CUUSS35ESA0,1987,S02,1987 Half2,115.6
CUUSS35ESA0,1988,S01,1988 Half1,117.7
CUUSS35ESA0,1988,S02,1988 Half2,120.9
CUUSS35ESA0,1989,S01,1989 Half1,123.0
CUUSS35ESA0,1989,S02,1989 Half2,126.0
CUUSS35ESA0,1990,S01,1990 Half1,128.9
CUUSS35ESA0,1990,S02,1990 Half2,132.7
CUUSS35ESA0,1991,S01,1991 Half1,135.1
CUUSS35ESA0,1991,S02,1991 Half2,137.6
CUUSS35ESA0,1992,S01,1992 Half1,138.9
CUUSS35ESA0,1992,S02,1992 Half2,141.3
CUUSS35ESA0,1993,S01,1993 Half1,142.6
CUUSS35ESA0,1993,S02,1993 Half2,143.6
CUUSS35ESA0,1994,S01,1994 Half1,145.2
CUUSS35ESA0,1994,S02,1994 Half2,148.5
CUUSS35ESA0,1995,S01,1995 Half1,150.0
CUUSS35ESA0,1995,S02,1995 Half2,151.5
CUUSS35ESA0,1996,S01,1996 Half1,153.2
CUUSS35ESA0,1996,S02,1996 Half2,155.3
CUUSS35ESA0,1997,S01,1997 Half1,156.2
CUUSS35ESA0,1997,S02,1997 Half2,156.5
CUUSS35ESA0,2015,S01,2015 Half1,240.162
CUUSS35ESA0,2015,S02,2015 Half2,241.161
CUUSS35ESA0,2016,S01,2016 Half1,242.483
CUUSS35ESA0,2016,S02,2016 Half2,245.595
CUUSS35ESA0,2017,S01,2017 Half1,247.885
CUUSS35ESA0,2017,S02,2017 Half2,249.391
CUUSS35ESA0,2018,S01,2018 Half1,252.401
CUUSS35ESA0,2018,S02,2018 Half2,254.382
CUUSS35ESA0,2019,S01,2019 Half1,256.485
CUUSS35ESA0,2019,S02,2019 Half2,257.288
CUUSS35ESA0,2020,S01,2020 Half1,258.891
CUUSS35ESA0,2020,S02,2020 Half2,260.061
CUUSS35ESA0,2021,S01,2021 Half1,265.048
