Series ID,Year,Period,Label,Value
CUUSS11ASA0,1984,S01,1984 Half1,103.7
CUUSS11ASA0,1984,S02,1984 Half2,105.7
CUUSS11ASA0,1985,S01,1985 Half1,107.9
CUUSS11ASA0,1985,S02,1985 Half2,110.9
CUUSS11ASA0,1986,S01,1986 Half1,111.7
CUUSS11ASA0,1986,S02,1986 Half2,112.8
CUUSS11ASA0,1987,S01,1987 Half1,115.4
CUUSS11ASA0,1987,S02,1987 Half2,118.9
CUUSS11ASA0,1988,S01,1988 Half1,122.1
CUUSS11ASA0,1988,S02,1988 Half2,126.2
CUUSS11ASA0,1989,S01,1989 Half1,129.8
CUUSS11ASA0,1989,S02,1989 Half2,132.7
CUUSS11ASA0,1990,S01,1990 Half1,136.4
CUUSS11ASA0,1990,S02,1990 Half2,141.4
CUUSS11ASA0,1991,S01,1991 Half1,143.8
CUUSS11ASA0,1991,S02,1991 Half2,146.1
CUUSS11ASA0,1992,S01,1992 Half1,147.5
CUUSS11ASA0,1992,S02,1992 Half2,149.7
CUUSS11ASA0,1993,S01,1993 Half1,152.7
CUUSS11ASA0,1993,S02,1993 Half2,153.1
CUUSS11ASA0,1994,S01,1994 Half1,154.1
CUUSS11ASA0,1994,S02,1994 Half2,155.8
CUUSS11ASA0,1995,S01,1995 Half1,158.0
CUUSS11ASA0,1995,S02,1995 Half2,159.3
CUUSS11ASA0,1996,S01,1996 Half1,162.3
CUUSS11ASA0,1996,S02,1996 Half2,164.4
CUUSS11ASA0,1997,S01,1997 Half1,167.5
CUUSS11ASA0,1997,S02,1997 Half2,168.4
CUUSS11ASA0,1998,S01,1998 Half1,171.1
CUUSS11ASA0,1998,S02,1998 Half2,172.3
CUUSS11ASA0,1999,S01,1999 Half1,174.5
CUUSS11ASA0,1999,S02,1999 Half2,177.5
CUUSS11ASA0,2000,S01,2000 Half1,181.8
CUUSS11ASA0,2000,S02,2000 Half2,185.4
CUUSS11ASA0,2001,S01,2001 Half1,190.5
CUUSS11ASA0,2001,S02,2001 Half2,192.6
CUUSS11ASA0,2002,S01,2002 Half1,194.4
CUUSS11ASA0,2002,S02,2002 Half2,198.7
CUUSS11ASA0,2003,S01,2003 Half1,201.9
CUUSS11ASA0,2003,S02,2003 Half2,205.9
CUUSS11ASA0,2004,S01,2004 Half1,208.6
CUUSS11ASA0,2004,S02,2004 Half2,210.3
CUUSS11ASA0,2005,S01,2005 Half1,213.9
CUUSS11ASA0,2005,S02,2005 Half2,218.9
CUUSS11ASA0,2006,S01,2006 Half1,222.0
CUUSS11ASA0,2006,S02,2006 Half2,224.2
CUUSS11ASA0,2007,S01,2007 Half1,225.910
CUUSS11ASA0,2007,S02,2007 Half2,228.909
CUUSS11ASA0,2008,S01,2008 Half1,234.239
CUUSS11ASA0,2008,S02,2008 Half2,236.502
CUUSS11ASA0,2009,S01,2009 Half1,231.802
CUUSS11ASA0,2009,S02,2009 Half2,235.754
CUUSS11ASA0,2010,S01,2010 Half1,237.683
CUUSS11ASA0,2010,S02,2010 Half2,237.209
CUUSS11ASA0,2011,S01,2011 Half1,242.761
CUUSS11ASA0,2011,S02,2011 Half2,245.001
CUUSS11ASA0,2012,S01,2012 Half1,246.583
CUUSS11ASA0,2012,S02,2012 Half2,248.883
CUUSS11ASA0,2013,S01,2013 Half1,250.368
CUUSS11ASA0,2013,S02,2013 Half2,251.909
CUUSS11ASA0,2014,S01,2014 Half1,254.619
CUUSS11ASA0,2014,S02,2014 Half2,255.750
CUUSS11ASA0,2015,S01,2015 Half1,256.376
CUUSS11ASA0,2015,S02,2015 Half2,257.055
CUUSS11ASA0,2016,S01,2016 Half1,259.188
CUUSS11ASA0,2016,S02,2016 Half2,261.803
CUUSS11ASA0,2017,S01,2017 Half1,265.594
CUUSS11ASA0,2017,S02,2017 Half2,268.472
CUUSS11ASA0,2018,S01,2018 Half1,274.148
CUUSS11ASA0,2018,S02,2018 Half2,277.483
CUUSS11ASA0,2019,S01,2019 Half1,280.107
CUUSS11ASA0,2019,S02,2019 Half2,282.057
CUUSS11ASA0,2020,S01,2020 Half1,284.754
CUUSS11ASA0,2020,S02,2020 Half2,283.778
CUUSS11ASA0,2021,S01,2021 Half1,289.901
