Series ID,Year,Period,Label,Value
CUUSS23ASA0,1984,S01,1984 Half1,102.6
CUUSS23ASA0,1984,S02,1984 Half2,105.0
CUUSS23ASA0,1985,S01,1985 Half1,106.7
CUUSS23ASA0,1985,S02,1985 Half2,108.8
CUUSS23ASA0,1986,S01,1986 Half1,109.1
CUUSS23ASA0,1986,S02,1986 Half2,110.9
CUUSS23ASA0,1987,S01,1987 Half1,112.9
CUUSS23ASA0,1987,S02,1987 Half2,116.0
CUUSS23ASA0,1988,S01,1988 Half1,117.0
CUUSS23ASA0,1988,S02,1988 Half2,121.0
CUUSS23ASA0,1989,S01,1989 Half1,123.3
CUUSS23ASA0,1989,S02,1989 Half2,126.7
CUUSS23ASA0,1990,S01,1990 Half1,129.9
CUUSS23ASA0,1990,S02,1990 Half2,133.5
CUUSS23ASA0,1991,S01,1991 Half1,136.2
CUUSS23ASA0,1991,S02,1991 Half2,137.9
CUUSS23ASA0,1992,S01,1992 Half1,139.9
CUUSS23ASA0,1992,S02,1992 Half2,142.2
CUUSS23ASA0,1993,S01,1993 Half1,144.5
CUUSS23ASA0,1993,S02,1993 Half2,146.3
CUUSS23ASA0,1994,S01,1994 Half1,147.4
CUUSS23ASA0,1994,S02,1994 Half2,149.8
CUUSS23ASA0,1995,S01,1995 Half1,152.7
CUUSS23ASA0,1995,S02,1995 Half2,153.9
CUUSS23ASA0,1996,S01,1996 Half1,156.2
CUUSS23ASA0,1996,S02,1996 Half2,158.7
CUUSS23ASA0,1997,S01,1997 Half1,161.0
CUUSS23ASA0,1997,S02,1997 Half2,162.4
CUUSS23ASA0,1998,S01,1998 Half1,164.4
CUUSS23ASA0,1998,S02,1998 Half2,165.6
CUUSS23ASA0,1999,S01,1999 Half1,167.4
CUUSS23ASA0,1999,S02,1999 Half2,169.4
CUUSS23ASA0,2000,S01,2000 Half1,172.6
CUUSS23ASA0,2000,S02,2000 Half2,175.1
CUUSS23ASA0,2001,S01,2001 Half1,178.5
CUUSS23ASA0,2001,S02,2001 Half2,178.2
CUUSS23ASA0,2002,S01,2002 Half1,180.1
CUUSS23ASA0,2002,S02,2002 Half2,182.2
CUUSS23ASA0,2003,S01,2003 Half1,183.8
CUUSS23ASA0,2003,S02,2003 Half2,185.3
CUUSS23ASA0,2004,S01,2004 Half1,187.2
CUUSS23ASA0,2004,S02,2004 Half2,190.1
CUUSS23ASA0,2005,S01,2005 Half1,192.0
CUUSS23ASA0,2005,S02,2005 Half2,196.7
CUUSS23ASA0,2006,S01,2006 Half1,197.9
CUUSS23ASA0,2006,S02,2006 Half2,198.8
CUUSS23ASA0,2007,S01,2007 Half1,203.052
CUUSS23ASA0,2007,S02,2007 Half2,206.583
CUUSS23ASA0,2008,S01,2008 Half1,212.193
CUUSS23ASA0,2008,S02,2008 Half2,212.878
CUUSS23ASA0,2009,S01,2009 Half1,208.525
CUUSS23ASA0,2009,S02,2009 Half2,211.465
CUUSS23ASA0,2010,S01,2010 Half1,212.602
CUUSS23ASA0,2010,S02,2010 Half2,213.139
CUUSS23ASA0,2011,S01,2011 Half1,218.044
CUUSS23ASA0,2011,S02,2011 Half2,219.324
CUUSS23ASA0,2012,S01,2012 Half1,221.396
CUUSS23ASA0,2012,S02,2012 Half2,222.613
CUUSS23ASA0,2013,S01,2013 Half1,224.566
CUUSS23ASA0,2013,S02,2013 Half2,224.524
CUUSS23ASA0,2014,S01,2014 Half1,228.328
CUUSS23ASA0,2014,S02,2014 Half2,228.608
CUUSS23ASA0,2015,S01,2015 Half1,227.343
CUUSS23ASA0,2015,S02,2015 Half2,228.242
CUUSS23ASA0,2016,S01,2016 Half1,228.663
CUUSS23ASA0,2016,S02,2016 Half2,229.941
CUUSS23ASA0,2017,S01,2017 Half1,232.798
CUUSS23ASA0,2017,S02,2017 Half2,234.425
CUUSS23ASA0,2018,S01,2018 Half1,237.392
CUUSS23ASA0,2018,S02,2018 Half2,238.021
CUUSS23ASA0,2019,S01,2019 Half1,240.038
CUUSS23ASA0,2019,S02,2019 Half2,242.324
CUUSS23ASA0,2020,S01,2020 Half1,242.985
CUUSS23ASA0,2020,S02,2020 Half2,244.760
CUUSS23ASA0,2021,S01,2021 Half1,250.463
