Series ID,Year,Period,Label,Value
CUUSS12ASA0,1984,S01,1984 Half1,103.7
CUUSS12ASA0,1984,S02,1984 Half2,105.9
CUUSS12ASA0,1985,S01,1985 Half1,107.6
CUUSS12ASA0,1985,S02,1985 Half2,109.8
CUUSS12ASA0,1986,S01,1986 Half1,111.4
CUUSS12ASA0,1986,S02,1986 Half2,113.1
CUUSS12ASA0,1987,S01,1987 Half1,116.2
CUUSS12ASA0,1987,S02,1987 Half2,119.7
CUUSS12ASA0,1988,S01,1988 Half1,122.1
CUUSS12ASA0,1988,S02,1988 Half2,125.3
CUUSS12ASA0,1989,S01,1989 Half1,129.0
CUUSS12ASA0,1989,S02,1989 Half2,132.2
CUUSS12ASA0,1990,S01,1990 Half1,136.4
CUUSS12ASA0,1990,S02,1990 Half2,140.7
CUUSS12ASA0,1991,S01,1991 Half1,143.7
CUUSS12ASA0,1991,S02,1991 Half2,145.9
CUUSS12ASA0,1992,S01,1992 Half1,148.7
CUUSS12ASA0,1992,S02,1992 Half2,151.4
CUUSS12ASA0,1993,S01,1993 Half1,153.8
CUUSS12ASA0,1993,S02,1993 Half2,155.2
CUUSS12ASA0,1994,S01,1994 Half1,157.4
CUUSS12ASA0,1994,S02,1994 Half2,159.0
CUUSS12ASA0,1995,S01,1995 Half1,161.1
CUUSS12ASA0,1995,S02,1995 Half2,163.2
CUUSS12ASA0,1996,S01,1996 Half1,166.0
CUUSS12ASA0,1996,S02,1996 Half2,167.9
CUUSS12ASA0,1997,S01,1997 Half1,170.1
CUUSS12ASA0,1997,S02,1997 Half2,171.6
CUUSS12ASA0,1998,S01,1998 Half1,172.8
CUUSS12ASA0,1998,S02,1998 Half2,174.4
CUUSS12ASA0,1999,S01,1999 Half1,175.8
CUUSS12ASA0,1999,S02,1999 Half2,178.2
CUUSS12ASA0,2000,S01,2000 Half1,181.0
CUUSS12ASA0,2000,S02,2000 Half2,184.0
CUUSS12ASA0,2001,S01,2001 Half1,186.5
CUUSS12ASA0,2001,S02,2001 Half2,187.8
CUUSS12ASA0,2002,S01,2002 Half1,190.7
CUUSS12ASA0,2002,S02,2002 Half2,193.1
CUUSS12ASA0,2003,S01,2003 Half1,196.4
CUUSS12ASA0,2003,S02,2003 Half2,199.2
CUUSS12ASA0,2004,S01,2004 Half1,203.1
CUUSS12ASA0,2004,S02,2004 Half2,206.4
CUUSS12ASA0,2005,S01,2005 Half1,210.7
CUUSS12ASA0,2005,S02,2005 Half2,214.8
CUUSS12ASA0,2006,S01,2006 Half1,219.2
CUUSS12ASA0,2006,S02,2006 Half2,222.3
CUUSS12ASA0,2007,S01,2007 Half1,225.095
CUUSS12ASA0,2007,S02,2007 Half2,228.785
CUUSS12ASA0,2008,S01,2008 Half1,233.761
CUUSS12ASA0,2008,S02,2008 Half2,237.804
CUUSS12ASA0,2009,S01,2009 Half1,235.310
CUUSS12ASA0,2009,S02,2009 Half2,238.339
CUUSS12ASA0,2010,S01,2010 Half1,240.059
CUUSS12ASA0,2010,S02,2010 Half2,241.669
CUUSS12ASA0,2011,S01,2011 Half1,245.859
CUUSS12ASA0,2011,S02,2011 Half2,249.576
CUUSS12ASA0,2012,S01,2012 Half1,251.483
CUUSS12ASA0,2012,S02,2012 Half2,253.693
CUUSS12ASA0,2013,S01,2013 Half1,256.130
CUUSS12ASA0,2013,S02,2013 Half2,257.537
CUUSS12ASA0,2014,S01,2014 Half1,260.191
CUUSS12ASA0,2014,S02,2014 Half2,260.268
CUUSS12ASA0,2015,S01,2015 Half1,259.967
CUUSS12ASA0,2015,S02,2015 Half2,261.150
CUUSS12ASA0,2016,S01,2016 Half1,262.089
CUUSS12ASA0,2016,S02,2016 Half2,264.641
CUUSS12ASA0,2017,S01,2017 Half1,267.826
CUUSS12ASA0,2017,S02,2017 Half2,269.215
CUUSS12ASA0,2018,S01,2018 Half1,272.717
CUUSS12ASA0,2018,S02,2018 Half2,274.564
CUUSS12ASA0,2019,S01,2019 Half1,276.975
CUUSS12ASA0,2019,S02,2019 Half2,279.354
CUUSS12ASA0,2020,S01,2020 Half1,281.937
CUUSS12ASA0,2020,S02,2020 Half2,283.903
CUUSS12ASA0,2021,S01,2021 Half1,288.973
