Series ID,Year,Period,Label,Value
CUUSA104SA0,1984,S01,1984 Half1,104.0
CUUSA104SA0,1984,S02,1984 Half2,105.1
CUUSA104SA0,1985,S01,1985 Half1,106.3
CUUSA104SA0,1985,S02,1985 Half2,107.5
CUUSA104SA0,1986,S01,1986 Half1,107.9
CUUSA104SA0,1986,S02,1986 Half2,108.6
CUUSA104SA0,1987,S01,1987 Half1,110.4
CUUSA104SA0,1987,S02,1987 Half2,112.4
CUUSA104SA0,1988,S01,1988 Half1,113.9
CUUSA104SA0,1988,S02,1988 Half2,115.9
CUUSA104SA0,1989,S01,1989 Half1,118.9
CUUSA104SA0,1989,S02,1989 Half2,121.3
CUUSA104SA0,1990,S01,1990 Half1,124.2
CUUSA104SA0,1990,S02,1990 Half2,128.2
CUUSA104SA0,1991,S01,1991 Half1,130.0
CUUSA104SA0,1991,S02,1991 Half2,132.7
CUUSA104SA0,1992,S01,1992 Half1,134.8
CUUSA104SA0,1992,S02,1992 Half2,137.1
CUUSA104SA0,1993,S01,1993 Half1,139.2
CUUSA104SA0,1993,S02,1993 Half2,140.6
CUUSA104SA0,1994,S01,1994 Half1,143.2
CUUSA104SA0,1994,S02,1994 Half2,146.0
CUUSA104SA0,1995,S01,1995 Half1,148.2
CUUSA104SA0,1995,S02,1995 Half2,150.1
CUUSA104SA0,1996,S01,1996 Half1,152.1
CUUSA104SA0,1996,S02,1996 Half2,154.3
CUUSA104SA0,1997,S01,1997 Half1,156.6
CUUSA104SA0,1997,S02,1997 Half2,157.5
CUUSA104SA0,1998,S01,1998 Half1,158.1
CUUSA104SA0,1998,S02,1998 Half2,160.3
CUUSA104SA0,1999,S01,1999 Half1,161.4
CUUSA104SA0,1999,S02,1999 Half2,163.6
CUUSA104SA0,2000,S01,2000 Half1,166.9
CUUSA104SA0,2000,S02,2000 Half2,169.0
CUUSA104SA0,2001,S01,2001 Half1,172.4
CUUSA104SA0,2001,S02,2001 Half2,172.5
CUUSA104SA0,2002,S01,2002 Half1,172.9
CUUSA104SA0,2002,S02,2002 Half2,175.0
CUUSA104SA0,2003,S01,2003 Half1,176.9
CUUSA104SA0,2003,S02,2003 Half2,178.1
CUUSA104SA0,2004,S01,2004 Half1,181.4
CUUSA104SA0,2004,S02,2004 Half2,184.7
CUUSA104SA0,2005,S01,2005 Half1,187.8
CUUSA104SA0,2005,S02,2005 Half2,191.7
CUUSA104SA0,2006,S01,2006 Half1,194.8
CUUSA104SA0,2006,S02,2006 Half2,196.6
CUUSA104SA0,2007,S01,2007 Half1,199.672
CUUSA104SA0,2007,S02,2007 Half2,203.295
CUUSA104SA0,2008,S01,2008 Half1,209.486
CUUSA104SA0,2008,S02,2008 Half2,213.084
CUUSA104SA0,2009,S01,2009 Half1,210.468
CUUSA104SA0,2009,S02,2009 Half2,213.774
CUUSA104SA0,2010,S01,2010 Half1,214.470
CUUSA104SA0,2010,S02,2010 Half2,216.345
CUUSA104SA0,2011,S01,2011 Half1,222.651
CUUSA104SA0,2011,S02,2011 Half2,227.513
CUUSA104SA0,2012,S01,2012 Half1,232.249
CUUSA104SA0,2012,S02,2012 Half2,233.539
CUUSA104SA0,2013,S01,2013 Half1,236.009
CUUSA104SA0,2013,S02,2013 Half2,235.719
CUUSA104SA0,2014,S01,2014 Half1,238.663
CUUSA104SA0,2014,S02,2014 Half2,239.249
CUUSA104SA0,2015,S01,2015 Half1,239.232
CUUSA104SA0,2015,S02,2015 Half2,241.972
CUUSA104SA0,2016,S01,2016 Half1,243.000
CUUSA104SA0,2016,S02,2016 Half2,246.118
CUUSA104SA0,2017,S01,2017 Half1,249.284
CUUSA104SA0,2017,S02,2017 Half2,250.816
