Series ID,Year,Period,Label,Value
CUUSA425SA0,1984,S01,1984 Half1,102.1
CUUSA425SA0,1984,S02,1984 Half2,103.6
CUUSA425SA0,1985,S01,1985 Half1,105.6
CUUSA425SA0,1985,S02,1985 Half2,107.8
CUUSA425SA0,1986,S01,1986 Half1,108.1
CUUSA425SA0,1986,S02,1986 Half2,108.3
CUUSA425SA0,1987,S01,1987 Half1,109.9
CUUSA425SA0,1987,S02,1987 Half2,111.9
CUUSA425SA0,1988,S01,1988 Half1,113.6
CUUSA425SA0,1988,S02,1988 Half2,115.9
CUUSA425SA0,1989,S01,1989 Half1,119.3
CUUSA425SA0,1989,S02,1989 Half2,121.6
CUUSA425SA0,1990,S01,1990 Half1,124.9
CUUSA425SA0,1990,S02,1990 Half2,129.8
CUUSA425SA0,1991,S01,1991 Half1,132.8
CUUSA425SA0,1991,S02,1991 Half2,135.1
CUUSA425SA0,1992,S01,1992 Half1,138.8
CUUSA425SA0,1992,S02,1992 Half2,140.9
CUUSA425SA0,1993,S01,1993 Half1,143.6
CUUSA425SA0,1993,S02,1993 Half2,145.8
CUUSA425SA0,1994,S01,1994 Half1,147.7
CUUSA425SA0,1994,S02,1994 Half2,150.1
CUUSA425SA0,1995,S01,1995 Half1,152.5
CUUSA425SA0,1995,S02,1995 Half2,153.9
CUUSA425SA0,1996,S01,1996 Half1,157.2
CUUSA425SA0,1996,S02,1996 Half2,160.0
CUUSA425SA0,1997,S01,1997 Half1,162.6
CUUSA425SA0,1997,S02,1997 Half2,165.5
CUUSA425SA0,1998,S01,1998 Half1,166.1
CUUSA425SA0,1998,S02,1998 Half2,168.1
CUUSA425SA0,1999,S01,1999 Half1,170.8
CUUSA425SA0,1999,S02,1999 Half2,174.4
CUUSA425SA0,2000,S01,2000 Half1,176.4
CUUSA425SA0,2000,S02,2000 Half2,179.5
CUUSA425SA0,2001,S01,2001 Half1,181.2
CUUSA425SA0,2001,S02,2001 Half2,183.6
CUUSA425SA0,2002,S01,2002 Half1,183.5
CUUSA425SA0,2002,S02,2002 Half2,184.0
CUUSA425SA0,2003,S01,2003 Half1,186.0
CUUSA425SA0,2003,S02,2003 Half2,186.5
CUUSA425SA0,2004,S01,2004 Half1,189.8
CUUSA425SA0,2004,S02,2004 Half2,192.5
CUUSA425SA0,2005,S01,2005 Half1,194.5
CUUSA425SA0,2005,S02,2005 Half2,197.5
CUUSA425SA0,2006,S01,2006 Half1,199.8
CUUSA425SA0,2006,S02,2006 Half2,202.5
CUUSA425SA0,2007,S01,2007 Half1,206.653
CUUSA425SA0,2007,S02,2007 Half2,210.460
CUUSA425SA0,2008,S01,2008 Half1,214.619
CUUSA425SA0,2008,S02,2008 Half2,216.159
CUUSA425SA0,2009,S01,2009 Half1,214.102
CUUSA425SA0,2009,S02,2009 Half2,217.191
CUUSA425SA0,2010,S01,2010 Half1,217.508
CUUSA425SA0,2010,S02,2010 Half2,219.179
CUUSA425SA0,2011,S01,2011 Half1,223.105
CUUSA425SA0,2011,S02,2011 Half2,226.077
CUUSA425SA0,2012,S01,2012 Half1,228.746
CUUSA425SA0,2012,S02,2012 Half2,230.811
CUUSA425SA0,2013,S01,2013 Half1,233.735
CUUSA425SA0,2013,S02,2013 Half2,237.322
CUUSA425SA0,2014,S01,2014 Half1,239.751
CUUSA425SA0,2014,S02,2014 Half2,242.679
CUUSA425SA0,2015,S01,2015 Half1,242.976
CUUSA425SA0,2015,S02,2015 Half2,245.405
CUUSA425SA0,2016,S01,2016 Half1,247.143
CUUSA425SA0,2016,S02,2016 Half2,251.710
CUUSA425SA0,2017,S01,2017 Half1,258.055
CUUSA425SA0,2017,S02,2017 Half2,261.621
