Series ID,Year,Period,Label,Value
CUUSS49ESA0,1984,S01,1984 Half1,103.5
CUUSS49ESA0,1984,S02,1984 Half2,106.0
CUUSS49ESA0,1985,S01,1985 Half1,109.2
CUUSS49ESA0,1985,S02,1985 Half2,111.5
CUUSS49ESA0,1986,S01,1986 Half1,112.8
CUUSS49ESA0,1986,S02,1986 Half2,114.2
CUUSS49ESA0,1987,S01,1987 Half1,116.6
CUUSS49ESA0,1987,S02,1987 Half2,118.3
CUUSS49ESA0,1988,S01,1988 Half1,121.9
CUUSS49ESA0,1988,S02,1988 Half2,125.0
CUUSS49ESA0,1989,S01,1989 Half1,128.9
CUUSS49ESA0,1989,S02,1989 Half2,132.3
CUUSS49ESA0,1990,S01,1990 Half1,136.5
CUUSS49ESA0,1990,S02,1990 Half2,140.3
CUUSS49ESA0,1991,S01,1991 Half1,142.2
CUUSS49ESA0,1991,S02,1991 Half2,144.7
CUUSS49ESA0,1992,S01,1992 Half1,147.0
CUUSS49ESA0,1992,S02,1992 Half2,147.7
CUUSS49ESA0,1993,S01,1993 Half1,150.4
CUUSS49ESA0,1993,S02,1993 Half2,150.8
CUUSS49ESA0,1994,S01,1994 Half1,154.3
CUUSS49ESA0,1994,S02,1994 Half2,154.6
CUUSS49ESA0,1995,S01,1995 Half1,156.3
CUUSS49ESA0,1995,S02,1995 Half2,157.3
CUUSS49ESA0,1996,S01,1996 Half1,159.8
CUUSS49ESA0,1996,S02,1996 Half2,161.9
CUUSS49ESA0,1997,S01,1997 Half1,163.7
CUUSS49ESA0,1997,S02,1997 Half2,163.7
CUUSS49ESA0,1998,S01,1998 Half1,166.0
CUUSS49ESA0,1998,S02,1998 Half2,167.8
CUUSS49ESA0,1999,S01,1999 Half1,171.7
CUUSS49ESA0,1999,S02,1999 Half2,173.9
CUUSS49ESA0,2000,S01,2000 Half1,179.8
CUUSS49ESA0,2000,S02,2000 Half2,185.8
CUUSS49ESA0,2001,S01,2001 Half1,190.1
CUUSS49ESA0,2001,S02,2001 Half2,192.4
CUUSS49ESA0,2002,S01,2002 Half1,195.7
CUUSS49ESA0,2002,S02,2002 Half2,200.0
CUUSS49ESA0,2003,S01,2003 Half1,203.8
CUUSS49ESA0,2003,S02,2003 Half2,206.7
CUUSS49ESA0,2004,S01,2004 Half1,211.4
CUUSS49ESA0,2004,S02,2004 Half2,214.3
CUUSS49ESA0,2005,S01,2005 Half1,218.3
CUUSS49ESA0,2005,S02,2005 Half2,222.9
CUUSS49ESA0,2006,S01,2006 Half1,226.7
CUUSS49ESA0,2006,S02,2006 Half2,229.6
CUUSS49ESA0,2007,S01,2007 Half1,231.870
CUUSS49ESA0,2007,S02,2007 Half2,234.772
CUUSS49ESA0,2008,S01,2008 Half1,242.440
CUUSS49ESA0,2008,S02,2008 Half2,242.185
CUUSS49ESA0,2009,S01,2009 Half1,240.885
CUUSS49ESA0,2009,S02,2009 Half2,243.655
CUUSS49ESA0,2010,S01,2010 Half1,244.242
CUUSS49ESA0,2010,S02,2010 Half2,246.686
CUUSS49ESA0,2011,S01,2011 Half1,252.451
CUUSS49ESA0,2011,S02,2011 Half2,253.368
CUUSS49ESA0,2012,S01,2012 Half1,256.637
CUUSS49ESA0,2012,S02,2012 Half2,257.285
CUUSS49ESA0,2013,S01,2013 Half1,258.955
CUUSS49ESA0,2013,S02,2013 Half2,261.679
CUUSS49ESA0,2014,S01,2014 Half1,265.251
CUUSS49ESA0,2014,S02,2014 Half2,265.039
CUUSS49ESA0,2015,S01,2015 Half1,267.346
CUUSS49ESA0,2015,S02,2015 Half2,271.526
CUUSS49ESA0,2016,S01,2016 Half1,272.628
CUUSS49ESA0,2016,S02,2016 Half2,276.837
CUUSS49ESA0,2017,S01,2017 Half1,281.561
CUUSS49ESA0,2017,S02,2017 Half2,284.464
CUUSS49ESA0,2018,S01,2018 Half1,290.076
CUUSS49ESA0,2018,S02,2018 Half2,295.018
CUUSS49ESA0,2019,S01,2019 Half1,298.147
CUUSS49ESA0,2019,S02,2019 Half2,300.718
CUUSS49ESA0,2020,S01,2020 Half1,302.040
CUUSS49ESA0,2020,S02,2020 Half2,305.823
CUUSS49ESA0,2021,S01,2021 Half1,314.282
