Series ID,Year,Period,Label,Value
CUUSS49BSA0,1984,S01,1984 Half1,102.3
CUUSS49BSA0,1984,S02,1984 Half2,105.7
CUUSS49BSA0,1985,S01,1985 Half1,107.4
CUUSS49BSA0,1985,S02,1985 Half2,109.3
CUUSS49BSA0,1986,S01,1986 Half1,110.9
CUUSS49BSA0,1986,S02,1986 Half2,112.4
CUUSS49BSA0,1987,S01,1987 Half1,114.1
CUUSS49BSA0,1987,S02,1987 Half2,116.7
CUUSS49BSA0,1988,S01,1988 Half1,119.0
CUUSS49BSA0,1988,S02,1988 Half2,122.0
CUUSS49BSA0,1989,S01,1989 Half1,125.3
CUUSS49BSA0,1989,S02,1989 Half2,127.4
CUUSS49BSA0,1990,S01,1990 Half1,130.1
CUUSS49BSA0,1990,S02,1990 Half2,134.0
CUUSS49BSA0,1991,S01,1991 Half1,136.5
CUUSS49BSA0,1991,S02,1991 Half2,139.4
CUUSS49BSA0,1992,S01,1992 Half1,141.4
CUUSS49BSA0,1992,S02,1992 Half2,143.6
CUUSS49BSA0,1993,S01,1993 Half1,146.0
CUUSS49BSA0,1993,S02,1993 Half2,146.7
CUUSS49BSA0,1994,S01,1994 Half1,147.9
CUUSS49BSA0,1994,S02,1994 Half2,149.4
CUUSS49BSA0,1995,S01,1995 Half1,151.1
CUUSS49BSA0,1995,S02,1995 Half2,152.1
CUUSS49BSA0,1996,S01,1996 Half1,153.9
CUUSS49BSA0,1996,S02,1996 Half2,156.3
CUUSS49BSA0,1997,S01,1997 Half1,158.9
CUUSS49BSA0,1997,S02,1997 Half2,161.9
CUUSS49BSA0,1998,S01,1998 Half1,164.2
CUUSS49BSA0,1998,S02,1998 Half2,166.9
CUUSS49BSA0,1999,S01,1999 Half1,170.8
CUUSS49BSA0,1999,S02,1999 Half2,174.2
CUUSS49BSA0,2000,S01,2000 Half1,177.7
CUUSS49BSA0,2000,S02,2000 Half2,182.6
CUUSS49BSA0,2001,S01,2001 Half1,188.7
CUUSS49BSA0,2001,S02,2001 Half2,191.1
CUUSS49BSA0,2002,S01,2002 Half1,192.3
CUUSS49BSA0,2002,S02,2002 Half2,193.7
CUUSS49BSA0,2003,S01,2003 Half1,196.8
CUUSS49BSA0,2003,S02,2003 Half2,196.1
CUUSS49BSA0,2004,S01,2004 Half1,198.2
CUUSS49BSA0,2004,S02,2004 Half2,199.5
CUUSS49BSA0,2005,S01,2005 Half1,201.5
CUUSS49BSA0,2005,S02,2005 Half2,203.9
CUUSS49BSA0,2006,S01,2006 Half1,207.9
CUUSS49BSA0,2006,S02,2006 Half2,210.6
CUUSS49BSA0,2007,S01,2007 Half1,214.736
CUUSS49BSA0,2007,S02,2007 Half2,217.361
CUUSS49BSA0,2008,S01,2008 Half1,221.730
CUUSS49BSA0,2008,S02,2008 Half2,223.804
CUUSS49BSA0,2009,S01,2009 Half1,223.305
CUUSS49BSA0,2009,S02,2009 Half2,225.484
CUUSS49BSA0,2010,S01,2010 Half1,226.994
CUUSS49BSA0,2010,S02,2010 Half2,227.944
CUUSS49BSA0,2011,S01,2011 Half1,232.082
CUUSS49BSA0,2011,S02,2011 Half2,234.698
CUUSS49BSA0,2012,S01,2012 Half1,238.099
CUUSS49BSA0,2012,S02,2012 Half2,241.201
CUUSS49BSA0,2013,S01,2013 Half1,243.894
CUUSS49BSA0,2013,S02,2013 Half2,246.152
CUUSS49BSA0,2014,S01,2014 Half1,250.507
CUUSS49BSA0,2014,S02,2014 Half2,253.463
CUUSS49BSA0,2015,S01,2015 Half1,256.723
CUUSS49BSA0,2015,S02,2015 Half2,260.421
CUUSS49BSA0,2016,S01,2016 Half1,263.911
CUUSS49BSA0,2016,S02,2016 Half2,268.777
CUUSS49BSA0,2017,S01,2017 Half1,273.306
CUUSS49BSA0,2017,S02,2017 Half2,276.542
CUUSS49BSA0,2018,S01,2018 Half1,282.666
CUUSS49BSA0,2018,S02,2018 Half2,288.435
CUUSS49BSA0,2019,S01,2019 Half1,293.150
CUUSS49BSA0,2019,S02,2019 Half2,296.859
CUUSS49BSA0,2020,S01,2020 Half1,299.109
CUUSS49BSA0,2020,S02,2020 Half2,301.059
CUUSS49BSA0,2021,S01,2021 Half1,306.724
