Series ID,Year,Period,Label,Value
CUUR0000SA0,1984,M01,1984 Jan,101.9
CUUR0000SA0,1984,M02,1984 Feb,102.4
CUUR0000SA0,1984,M03,1984 Mar,102.6
CUUR0000SA0,1984,M04,1984 Apr,103.1
CUUR0000SA0,1984,M05,1984 May,103.4
CUUR0000SA0,1984,M06,1984 Jun,103.7
CUUR0000SA0,1984,M07,1984 Jul,104.1
CUUR0000SA0,1984,M08,1984 Aug,104.5
CUUR0000SA0,1984,M09,1984 Sep,105.0
CUUR0000SA0,1984,M10,1984 Oct,105.3
CUUR0000SA0,1984,M11,1984 Nov,105.3
CUUR0000SA0,1984,M12,1984 Dec,105.3
CUUR0000SA0,1985,M01,1985 Jan,105.5
CUUR0000SA0,1985,M02,1985 Feb,106.0
CUUR0000SA0,1985,M03,1985 Mar,106.4
CUUR0000SA0,1985,M04,1985 Apr,106.9
CUUR0000SA0,1985,M05,1985 May,107.3
CUUR0000SA0,1985,M06,1985 Jun,107.6
CUUR0000SA0,1985,M07,1985 Jul,107.8
CUUR0000SA0,1985,M08,1985 Aug,108.0
CUUR0000SA0,1985,M09,1985 Sep,108.3
CUUR0000SA0,1985,M10,1985 Oct,108.7
CUUR0000SA0,1985,M11,1985 Nov,109.0
CUUR0000SA0,1985,M12,1985 Dec,109.3
CUUR0000SA0,1986,M01,1986 Jan,109.6
CUUR0000SA0,1986,M02,1986 Feb,109.3
CUUR0000SA0,1986,M03,1986 Mar,108.8
CUUR0000SA0,1986,M04,1986 Apr,108.6
CUUR0000SA0,1986,M05,1986 May,108.9
CUUR0000SA0,1986,M06,1986 Jun,109.5
CUUR0000SA0,1986,M07,1986 Jul,109.5
CUUR0000SA0,1986,M08,1986 Aug,109.7
CUUR0000SA0,1986,M09,1986 Sep,110.2
CUUR0000SA0,1986,M10,1986 Oct,110.3
CUUR0000SA0,1986,M11,1986 Nov,110.4
CUUR0000SA0,1986,M12,1986 Dec,110.5
CUUR0000SA0,1987,M01,1987 Jan,111.2
CUUR0000SA0,1987,M02,1987 Feb,111.6
CUUR0000SA0,1987,M03,1987 Mar,112.1
CUUR0000SA0,1987,M04,1987 Apr,112.7
CUUR0000SA0,1987,M05,1987 May,113.1
CUUR0000SA0,1987,M06,1987 Jun,113.5
CUUR0000SA0,1987,M07,1987 Jul,113.8
CUUR0000SA0,1987,M08,1987 Aug,114.4
CUUR0000SA0,1987,M09,1987 Sep,115.0
CUUR0000SA0,1987,M10,1987 Oct,115.3
CUUR0000SA0,1987,M11,1987 Nov,115.4
CUUR0000SA0,1987,M12,1987 Dec,115.4
CUUR0000SA0,1988,M01,1988 Jan,115.7
CUUR0000SA0,1988,M02,1988 Feb,116.0
CUUR0000SA0,1988,M03,1988 Mar,116.5
CUUR0000SA0,1988,M04,1988 Apr,117.1
CUUR0000SA0,1988,M05,1988 May,117.5
CUUR0000SA0,1988,M06,1988 Jun,118.0
CUUR0000SA0,1988,M07,1988 Jul,118.5
CUUR0000SA0,1988,M08,1988 Aug,119.0
CUUR0000SA0,1988,M09,1988 Sep,119.8
CUUR0000SA0,1988,M10,1988 Oct,120.2
CUUR0000SA0,1988,M11,1988 Nov,120.3
CUUR0000SA0,1988,M12,1988 Dec,120.5
CUUR0000SA0,1989,M01,1989 Jan,121.1
CUUR0000SA0,1989,M02,1989 Feb,121.6
CUUR0000SA0,1989,M03,1989 Mar,122.3
CUUR0000SA0,1989,M04,1989 Apr,123.1
CUUR0000SA0,1989,M05,1989 May,123.8
CUUR0000SA0,1989,M06,1989 Jun,124.1
CUUR0000SA0,1989,M07,1989 Jul,124.4
CUUR0000SA0,1989,M08,1989 Aug,124.6
CUUR0000SA0,1989,M09,1989 Sep,125.0
CUUR0000SA0,1989,M10,1989 Oct,125.6
CUUR0000SA0,1989,M11,1989 Nov,125.9
CUUR0000SA0,1989,M12,1989 Dec,126.1
CUUR0000SA0,1990,M01,1990 Jan,127.4
CUUR0000SA0,1990,M02,1990 Feb,128.0
CUUR0000SA0,1990,M03,1990 Mar,128.7
CUUR0000SA0,1990,M04,1990 Apr,128.9
CUUR0000SA0,1990,M05,1990 May,129.2
CUUR0000SA0,1990,M06,1990 Jun,129.9
CUUR0000SA0,1990,M07,1990 Jul,130.4
CUUR0000SA0,1990,M08,1990 Aug,131.6
CUUR0000SA0,1990,M09,1990 Sep,132.7
CUUR0000SA0,1990,M10,1990 Oct,133.5
CUUR0000SA0,1990,M11,1990 Nov,133.8
CUUR0000SA0,1990,M12,1990 Dec,133.8
CUUR0000SA0,1991,M01,1991 Jan,134.6
CUUR0000SA0,1991,M02,1991 Feb,134.8
CUUR0000SA0,1991,M03,1991 Mar,135.0
CUUR0000SA0,1991,M04,1991 Apr,135.2
CUUR0000SA0,1991,M05,1991 May,135.6
CUUR0000SA0,1991,M06,1991 Jun,136.0
CUUR0000SA0,1991,M07,1991 Jul,136.2
CUUR0000SA0,1991,M08,1991 Aug,136.6
CUUR0000SA0,1991,M09,1991 Sep,137.2
CUUR0000SA0,1991,M10,1991 Oct,137.4
CUUR0000SA0,1991,M11,1991 Nov,137.8
CUUR0000SA0,1991,M12,1991 Dec,137.9
CUUR0000SA0,1992,M01,1992 Jan,138.1
CUUR0000SA0,1992,M02,1992 Feb,138.6
CUUR0000SA0,1992,M03,1992 Mar,139.3
CUUR0000SA0,1992,M04,1992 Apr,139.5
CUUR0000SA0,1992,M05,1992 May,139.7
CUUR0000SA0,1992,M06,1992 Jun,140.2
CUUR0000SA0,1992,M07,1992 Jul,140.5
CUUR0000SA0,1992,M08,1992 Aug,140.9
CUUR0000SA0,1992,M09,1992 Sep,141.3
CUUR0000SA0,1992,M10,1992 Oct,141.8
CUUR0000SA0,1992,M11,1992 Nov,142.0
CUUR0000SA0,1992,M12,1992 Dec,141.9
CUUR0000SA0,1993,M01,1993 Jan,142.6
CUUR0000SA0,1993,M02,1993 Feb,143.1
CUUR0000SA0,1993,M03,1993 Mar,143.6
CUUR0000SA0,1993,M04,1993 Apr,144.0
CUUR0000SA0,1993,M05,1993 May,144.2
CUUR0000SA0,1993,M06,1993 Jun,144.4
CUUR0000SA0,1993,M07,1993 Jul,144.4
CUUR0000SA0,1993,M08,1993 Aug,144.8
CUUR0000SA0,1993,M09,1993 Sep,145.1
CUUR0000SA0,1993,M10,1993 Oct,145.7
CUUR0000SA0,1993,M11,1993 Nov,145.8
CUUR0000SA0,1993,M12,1993 Dec,145.8
CUUR0000SA0,1994,M01,1994 Jan,146.2
CUUR0000SA0,1994,M02,1994 Feb,146.7
CUUR0000SA0,1994,M03,1994 Mar,147.2
CUUR0000SA0,1994,M04,1994 Apr,147.4
CUUR0000SA0,1994,M05,1994 May,147.5
CUUR0000SA0,1994,M06,1994 Jun,148.0
CUUR0000SA0,1994,M07,1994 Jul,148.4
CUUR0000SA0,1994,M08,1994 Aug,149.0
CUUR0000SA0,1994,M09,1994 Sep,149.4
CUUR0000SA0,1994,M10,1994 Oct,149.5
CUUR0000SA0,1994,M11,1994 Nov,149.7
CUUR0000SA0,1994,M12,1994 Dec,149.7
CUUR0000SA0,1995,M01,1995 Jan,150.3
CUUR0000SA0,1995,M02,1995 Feb,150.9
CUUR0000SA0,1995,M03,1995 Mar,151.4
CUUR0000SA0,1995,M04,1995 Apr,151.9
CUUR0000SA0,1995,M05,1995 May,152.2
CUUR0000SA0,1995,M06,1995 Jun,152.5
CUUR0000SA0,1995,M07,1995 Jul,152.5
CUUR0000SA0,1995,M08,1995 Aug,152.9
CUUR0000SA0,1995,M09,1995 Sep,153.2
CUUR0000SA0,1995,M10,1995 Oct,153.7
CUUR0000SA0,1995,M11,1995 Nov,153.6
CUUR0000SA0,1995,M12,1995 Dec,153.5
CUUR0000SA0,1996,M01,1996 Jan,154.4
CUUR0000SA0,1996,M02,1996 Feb,154.9
CUUR0000SA0,1996,M03,1996 Mar,155.7
CUUR0000SA0,1996,M04,1996 Apr,156.3
CUUR0000SA0,1996,M05,1996 May,156.6
CUUR0000SA0,1996,M06,1996 Jun,156.7
CUUR0000SA0,1996,M07,1996 Jul,157.0
CUUR0000SA0,1996,M08,1996 Aug,157.3
CUUR0000SA0,1996,M09,1996 Sep,157.8
CUUR0000SA0,1996,M10,1996 Oct,158.3
CUUR0000SA0,1996,M11,1996 Nov,158.6
CUUR0000SA0,1996,M12,1996 Dec,158.6
CUUR0000SA0,1997,M01,1997 Jan,159.1
CUUR0000SA0,1997,M02,1997 Feb,159.6
CUUR0000SA0,1997,M03,1997 Mar,160.0
CUUR0000SA0,1997,M04,1997 Apr,160.2
CUUR0000SA0,1997,M05,1997 May,160.1
CUUR0000SA0,1997,M06,1997 Jun,160.3
CUUR0000SA0,1997,M07,1997 Jul,160.5
CUUR0000SA0,1997,M08,1997 Aug,160.8
CUUR0000SA0,1997,M09,1997 Sep,161.2
CUUR0000SA0,1997,M10,1997 Oct,161.6
CUUR0000SA0,1997,M11,1997 Nov,161.5
CUUR0000SA0,1997,M12,1997 Dec,161.3
CUUR0000SA0,1998,M01,1998 Jan,161.6
CUUR0000SA0,1998,M02,1998 Feb,161.9
CUUR0000SA0,1998,M03,1998 Mar,162.2
CUUR0000SA0,1998,M04,1998 Apr,162.5
CUUR0000SA0,1998,M05,1998 May,162.8
CUUR0000SA0,1998,M06,1998 Jun,163.0
CUUR0000SA0,1998,M07,1998 Jul,163.2
