"MARPI Real Personal Income by MSA 1/"
"(thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","LineCode","Description","2019"
"00000","United States","1","Real personal income (thousands of chained (2012) dollars)",16879392905
"00000","United States","2","Real per capita personal income (chained (2012) dollars) 2/",51424
"00999","United States (Nonmetropolitan Portion) 3/","1","Real personal income (thousands of chained (2012) dollars)",2068077172
"00999","United States (Nonmetropolitan Portion) 3/","2","Real per capita personal income (chained (2012) dollars) 2/",45541
"10180","Abilene, TX (Metropolitan Statistical Area)","1","Real personal income (thousands of chained (2012) dollars)",7972489
"10180","Abilene, TX (Metropolitan Statistical Area)","2","Real per capita personal income (chained (2012) dollars) 2/",46336
"10420","Akron, OH (Metropolitan Statistical Area)","1","Real personal income (thousands of chained (2012) dollars)",36673129
"10420","Akron, OH (Metropolitan Statistical Area)","2","Real per capita personal income (chained (2012) dollars) 2/",52131
"10500","Albany, GA (Metropolitan Statistical Area)","1","Real personal income (thousands of chained (2012) dollars)",6496881
"10500","Albany, GA (Metropolitan Statistical Area)","2","Real per capita personal income (chained (2012) dollars) 2/",44279
"10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","1","Real personal income (thousands of chained (2012) dollars)",5451769
"10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","2","Real per capita personal income (chained (2012) dollars) 2/",42018
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","1","Real personal income (thousands of chained (2012) dollars)",49482976
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","2","Real per capita personal income (chained (2012) dollars) 2/",56206
"10740","Albuquerque, NM (Metropolitan Statistical Area)","1","Real personal income (thousands of chained (2012) dollars)",39609090
"10740","Albuquerque, NM (Metropolitan Statistical Area)","2","Real per capita personal income (chained (2012) dollars) 2/",43146
"10780","Alexandria, LA (Metropolitan Statistical Area)","1","Real personal income (thousands of chained (2012) dollars)",7262697
"10780","Alexandria, LA (Metropolitan Statistical Area)","2","Real per capita personal income (chained (2012) dollars) 2/",47769
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","1","Real personal income (thousands of chained (2012) dollars)",43750051
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","2","Real per capita personal income (chained (2012) dollars) 2/",51833
"11020","Altoona, PA (Metropolitan Statistical Area)","1","Real personal income (thousands of chained (2012) dollars)",5997799
"11020","Altoona, PA (Metropolitan Statistical Area)","2","Real per capita personal income (chained (2012) dollars) 2/",49231
"11100","Amarillo, TX (Metropolitan Statistical Area)","1","Real personal income (thousands of chained (2012) dollars)",12820248
"11100","Amarillo, TX (Metropolitan Statistical Area)","2","Real per capita personal income (chained (2012) dollars) 2/",48369
"11180","Ames, IA (Metropolitan Statistical Area)","1","Real personal income (thousands of chained (2012) dollars)",5548949
