Institution,number
All Institutions ,"52,760"
,
Alabama ,644
AL A&M U. ,7
AL State U. ,13
"Auburn U., Auburn ",235
Tuskegee U. ,8
"U. AL, Birmingham ",159
"U. AL, Huntsville ",27
"U. AL, Tuscaloosa ",182
U. South AL ,13
,
Alaska ,52
"U. AK, Fairbanks ",52
,
Arizona ,904
AZ State U. ,465
Northern AZ U. ,22
Prescott C. ,8
U. AZ ,409
,
Arkansas ,222
"AR State U., Jonesboro ",8
"U. AR, Fayetteville ",172
U. AR for Medical Sciences ,20
"U. AR, Little Rock ",22
,
California ,"6,288"
"Alliant International U., Alameda ",20
"Alliant International U., Alhambra ",28
"Alliant International U., Fresno ",19
"Alliant International U., San Diego ",30
Azusa Pacific U. ,5
Biola U. ,22
CA Institute of Integral Studies ,50
CA Institute of Technology ,236
Chapman U. ,8
"City of Hope, Irell and Manella Graduate
  School of Biological Sciences ",10
Claremont Graduate U. ,101
Claremont School of Theology ,6
Fielding Graduate U. ,95
"Frederick S. Pardee RAND Graduate
  School ",9
Fuller Theological Seminary ,45
Graduate Theological Union ,18
Keck Graduate Institute ,1
La Sierra U. ,10
Loma Linda U. ,27
Palo Alto U. ,50
"San Diego State U., San Diego ",17
Santa Clara U. ,3
Saybrook U. ,30
Scripps Research Institute ,37
Sofia U. ,39
"Stanford U., Stanford ",763
"U. CA, Berkeley ",911
"U. CA, Davis ",567
"U. CA, Irvine ",434
"U. CA, Los Angeles ",742
"U. CA, Merced ",25
"U. CA, Riverside ",257
"U. CA, San Diego ",485
"U. CA, San Francisco ",136
"U. CA, Santa Barbara ",373
"U. CA, Santa Cruz ",159
U. San Diego ,29
U. San Francisco ,31
U. Southern CA ,447
U. of the Pacific ,9
U. of the West ,4
,
Colorado ,907
CO School of Mines ,84
"CO State U., Ft. Collins ",232
"U. CO, Boulder ",375
"U. CO, Colorado Springs ",23
"U. CO, Denver ",42
"U. CO, Denver, Aurora, Anschutz Medical
  Campus ",68
U. Denver ,15
U. Northern CO ,68
,
Connecticut ,721
U. Bridgeport ,3
"U. CT, Storrs ",304
Wesleyan U. ,21
Yale U. ,393
,
Delaware ,186
DE State U. ,7
U. DE ,179
,
District of Columbia ,586
American U. ,55
Catholic U. America ,73
Gallaudet U. ,16
George Washington U. ,222
Georgetown U. ,124
Howard U. ,96
,
Florida ,"2,169"
Barry U. ,21
FL A&M U. ,21
FL Atlantic U. ,89
FL Institute of Technology ,23
FL International U. ,135
FL State U. ,344
Nova Southeastern U. ,122
U. Central FL ,204
U. FL ,726
U. Miami ,175
"U. South FL, Tampa ",272
U. West FL ,37
,
Georgia ,"1,358"
Clark Atlanta U. ,21
Emory U. ,215
GA Health Sciences U. ,22
GA Institute of Technology ,488
GA Southern U. ,1
GA State U. ,188
Kennesaw State U. ,1
Mercer U. ,5
Morehouse School of Medicine ,5
U. GA ,412
,
Hawaii ,230
"U. HI, Manoa ",230
,
Idaho ,140
Boise State U. ,1
ID State U. ,44
U. ID ,95
,
Illinois ,"2,540"
Benedictine U. ,26
Chicago Theological Seminary ,3
DePaul U. ,27
Garrett-Evangelical Theological Seminary ,7
IL Institute of Technology ,100
IL State U. ,31
"Institute for Clinical Social Work, Chicago ",3
"Loyola U., Chicago ",127
"Lutheran School of Theology, Chicago ",6
National-Louis U. ,9
Northern IL U. ,72
