fips2010,fips2000,areaname22,name,msa22,fmr22_2,fmr22,msa21,fmr21_2,fmr21,msa20,fmr20_2,fmr20,msa19,fmr19_2,fmr19,msa18,fmr18_2,fmr18,msa17,fmr17_2,fmr17,msa16,fmr16_2,fmr16,msa15,fmr15_2,fmr15,msa14,fmr14_2,fmr14,msa13,fmr13_2,fmr13,msa12,fmr12_2,fmr12,msa11,fmr11_2,fmr11,msa10,fmr10_2,fmr10,msa09,fmr09_2,fmr09,msa08,fmr08_2,fmr08,msa07,fmr07_2,fmr07,msa06,fmr06_2,fmr06,msa05,fmr05_2,fmr05,msa04,fmr04_2,fmr04,msa03,fmr03_2,fmr03,msa02,fmr02_2,fmr02,msa01,fmr01_2,fmr01,msa00,fmr00_2,fmr00,msa99,fmr99_2,fmr99,msa98,fmr98_2,fmr98,msa97,fmr97_2,fmr97,msa96,fmr96_2,fmr96,msa95,fmr95_2,fmr95,msa94,fmr94_2,fmr94,msa93,fmr93_2,fmr93,msa92,fmr92_2,fmr92,msa91,fmr91_2,fmr91,msa90,fmr90_2,fmr90,msa89,fmr89_2,fmr89,msa88,fmr88_2,fmr88,msa87,fmr87_2,fmr87,msa86,fmr86_2,fmr86,msa85,fmr85_2,fmr85,msa83,fmr83_2,fmr83,cbsasub,areaname,state,cousub,county,pop2010,census_region,pop2017,pop2000
0100199999,0100199999,"Montgomery, AL MSA",Autauga County,METRO33860M33860,914,40,METRO33860M33860,908,40,METRO33860M33860,830,40,METRO33860M33860,825,40,METRO33860M33860,829,40,METRO33860M33860,822,40,METRO33860M33860,788,40,METRO33860M33860,788,40,METRO33860M33860,710,40,METRO33860M33860,790,40,METRO33860M33860,723,40,METRO33860M33860,735,40,METRO33860M33860,735,40,METRO33860M33860,706,40,METRO33860M33860,660,40,METRO33860M33860,623,40,METRO33860M33860,599,40,5240,583,40,5240,537,40,5240,535,40,5240,522,40,5240,507,40,5240,499,40,5240,496,40,5240,486,40,5240,473,40,5240,459,40,5240,444,40,5240,456,45,5240,397,45,5240,387,45,5240,374,45,5240,365,45,5240,357,45,5240,352,45,5240,343,45,5240,336,45,5240,279,45,5240,269,45,METRO33860M33860,"Montgomery, AL MSA",1,99999,1,54571,3,55035,43671
0100399999,0100399999,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,METRO19300M19300,1017,40,METRO19300M19300,922,40,METRO19300M19300,916,40,METRO19300M19300,888,40,METRO19300M19300,879,40,METRO19300M19300,977,40,METRO19300M19300,873,40,NCNTY01003N01003,762,40,NCNTY01003N01003,827,40,NCNTY01003N01003,729,40,NCNTY01003N01003,691,40,NCNTY01003N01003,764,40,NCNTY01003N01003,764,40,NCNTY01003N01003,733,40,NCNTY01003N01003,686,40,NCNTY01003N01003,644,40,NCNTY01003N01003,619,40,5160,561,40,5160,523,40,5160,521,40,5160,507,40,5160,493,40,5160,485,40,5160,482,40,5160,473,40,5160,423,40,5160,411,40,5160,398,40,5160,401,45,5160,447,45,5160,435,45,5160,421,45,5160,410,45,5160,401,45,5160,396,45,5160,386,45,5160,378,45,5160,320,45,5160,309,45,METRO19300M19300,"Daphne-Fairhope-Foley, AL MSA",1,99999,3,182265,3,203360,140415
0100599999,0100599999,"Barbour County, AL",Barbour County,NCNTY01005N01005,705,40,NCNTY01005N01005,648,40,NCNTY01005N01005,633,40,NCNTY01005N01005,666,40,NCNTY01005N01005,657,40,NCNTY01005N01005,671,40,NCNTY01005N01005,636,40,NCNTY01005N01005,670,40,NCNTY01005N01005,583,40,NCNTY01005N01005,584,40,NCNTY01005N01005,499,40,NCNTY01005N01005,539,40,NCNTY01005N01005,539,40,NCNTY01005N01005,518,40,NCNTY01005N01005,485,40,NCNTY01005N01005,455,40,NCNTY01005N01005,437,40,9999,425,40,10000,370,40,10000,370,40,10000,359,40,10000,350,40,10000,347,40,10000,347,40,10000,343,40,10000,336,40,10000,332,40,10000,282,40,10000,290,45,10000,311,45,10000,304,45,10000,294,45,10000,287,45,10000,281,45,10000,277,45,10000,270,45,10000,264,45,10000,311,45,10000,300,45,NCNTY01005N01005,"Barbour County, AL",1,99999,5,27457,3,26200,29038
0100799999,0100799999,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,METRO13820M13820,943,40,METRO13820M13820,1002,40,METRO13820M13820,986,40,METRO13820M13820,873,40,METRO13820M13820,882,40,METRO13820M13820,866,40,METRO13820M13820,840,40,METRO13820M13820,773,40,METRO13820M13820,743,40,METRO13820M13820,785,40,METRO13820M13820,750,40,METRO13820M13820,786,40,METRO13820M13820,735,40,METRO13820M13820,698,40,METRO13820M13820,690,40,METRO13820M13820,604,40,METRO13820M13820,581,40,9999,431,40,10000,370,40,10000,370,40,10000,359,40,10000,350,40,10000,347,40,10000,347,40,10000,343,40,10000,336,40,10000,332,40,10000,321,40,10000,331,45,10000,304,45,10000,297,45,10000,287,45,10000,280,45,10000,274,45,10000,270,45,10000,263,45,10000,257,45,10000,323,45,10000,312,45,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",1,99999,7,22915,3,22580,20826
0100999999,0100999999,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,METRO13820M13820,943,40,METRO13820M13820,1002,40,METRO13820M13820,986,40,METRO13820M13820,873,40,METRO13820M13820,882,40,METRO13820M13820,866,40,METRO13820M13820,840,40,METRO13820M13820,773,40,METRO13820M13820,743,40,METRO13820M13820,785,40,METRO13820M13820,750,40,METRO13820M13820,786,40,METRO13820M13820,735,40,METRO13820M13820,698,40,METRO13820M13820,690,40,METRO13820M13820,604,40,METRO13820M13820,581,40,1000,577,40,1000,559,40,1000,557,40,1000,543,40,1000,528,40,1000,519,40,1000,481,40,1000,472,40,1000,460,40,1000,447,40,1000,433,40,1000,440,45,1000,428,45,1000,417,45,1000,403,45,1000,378,45,1000,370,45,1000,383,45,1000,373,45,1000,365,45,1000,339,45,1000,327,45,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",1,99999,9,57322,3,57665,51024
0101199999,0101199999,"Bullock County, AL",Bullock County,NCNTY01011N01011,783,40,NCNTY01011N01011,705,40,NCNTY01011N01011,612,40,NCNTY01011N01011,628,40,NCNTY01011N01011,606,40,NCNTY01011N01011,621,40,NCNTY01011N01011,569,40,NCNTY01011N01011,599,40,NCNTY01011N01011,566,40,NCNTY01011N01011,584,40,NCNTY01011N01011,499,40,NCNTY01011N01011,550,40,NCNTY01011N01011,550,40,NCNTY01011N01011,528,40,NCNTY01011N01011,494,40,NCNTY01011N01011,465,40,NCNTY01011N01011,447,40,9999,434,40,10000,370,40,10000,370,40,10000,359,40,10000,350,40,10000,347,40,10000,347,40,10000,343,40,10000,336,40,10000,332,40,10000,258,40,10000,218,45,10000,316,45,10000,309,45,10000,299,45,10000,292,45,10000,286,45,10000,282,45,10000,275,45,10000,249,45,10000,279,45,10000,269,45,NCNTY01011N01011,"Bullock County, AL",1,99999,11,10914,3,10480,11714
0101399999,0101399999,"Butler County, AL",Butler County,NCNTY01013N01013,705,40,NCNTY01013N01013,634,40,NCNTY01013N01013,612,40,NCNTY01013N01013,628,40,NCNTY01013N01013,606,40,NCNTY01013N01013,621,40,NCNTY01013N01013,569,40,NCNTY01013N01013,599,40,NCNTY01013N01013,566,40,NCNTY01013N01013,584,40,NCNTY01013N01013,499,40,NCNTY01013N01013,550,40,NCNTY01013N01013,550,40,NCNTY01013N01013,528,40,NCNTY01013N01013,494,40,NCNTY01013N01013,465,40,NCNTY01013N01013,447,40,9999,434,40,10000,370,40,10000,370,40,10000,359,40,10000,350,40,10000,347,40,10000,347,40,10000,343,40,10000,336,40,10000,332,40,10000,289,40,10000,297,45,10000,322,45,10000,315,45,10000,305,45,10000,297,45,10000,291,45,10000,287,45,10000,254,45,10000,249,45,10000,311,45,10000,300,45,NCNTY01013N01013,"Butler County, AL",1,99999,13,20947,3,20125,21399
0101599999,0101599999,"Anniston-Oxford-Jacksonville, AL MSA",Calhoun County,METRO11500M11500,744,40,METRO11500M11500,723,40,METRO11500M11500,700,40,METRO11500M11500,676,40,METRO11500M11500,679,40,METRO11500M11500,630,40,METRO11500M11500,637,40,METRO11500M11500,675,40,METRO11500M11500,679,40,METRO11500M11500,636,40,METRO11500M11500,632,40,METRO11500M11500,585,40,METRO11500M11500,585,40,METRO11500M11500,562,40,METRO11500M11500,526,40,METRO11500M11500,493,40,METRO11500M11500,474,40,450,461,40,450,413,40,450,412,40,450,401,40,450,390,40,450,383,40,450,381,40,450,374,40,450,364,40,450,353,40,450,342,40,450,352,45,450,368,45,450,358,45,450,346,45,450,337,45,450,330,45,450,326,45,450,318,45,450,311,45,450,297,45,450,286,45,METRO11500M11500,"Anniston-Oxford-Jacksonville, AL MSA",1,99999,15,118572,3,115525,112249
0101799999,0101799999,"Chambers County, AL",Chambers County,NCNTY01017N01017,861,40,NCNTY01017N01017,744,40,NCNTY01017N01017,683,40,NCNTY01017N01017,691,40,NCNTY01017N01017,676,40,NCNTY01017N01017,751,40,NCNTY01017N01017,667,40,NCNTY01017N01017,696,40,NCNTY01017N01017,616,40,NCNTY01017N01017,627,40,NCNTY01017N01017,521,40,NCNTY01017N01017,536,40,NCNTY01017N01017,536,40,NCNTY01017N01017,514,40,NCNTY01017N01017,481,40,NCNTY01017N01017,453,40,NCNTY01017N01017,435,40,9999,406,40,10000,370,40,10000,370,40,10000,359,40,10000,350,40,10000,347,40,10000,347,40,10000,343,40,10000,336,40,10000,332,40,10000,295,40,10000,304,45,10000,308,45,10000,301,45,10000,291,45,10000,284,45,10000,278,45,10000,274,45,10000,267,45,10000,261,45,10000,314,45,10000,303,45,NCNTY01017N01017,"Chambers County, AL",1,99999,17,34215,3,33895,36583
0101999999,0101999999,"Cherokee County, AL",Cherokee County,NCNTY01019N01019,705,40,NCNTY01019N01019,634,40,NCNTY01019N01019,612,40,NCNTY01019N01019,628,40,NCNTY01019N01019,606,40,NCNTY01019N01019,621,40,NCNTY01019N01019,569,40,NCNTY01019N01019,599,40,NCNTY01019N01019,566,40,NCNTY01019N01019,584,40,NCNTY01019N01019,499,40,NCNTY01019N01019,560,40,NCNTY01019N01019,560,40,NCNTY01019N01019,538,40,NCNTY01019N01019,504,40,NCNTY01019N01019,476,40,NCNTY01019N01019,458,40,9999,445,40,10000,370,40,10000,370,40,10000,359,40,10000,350,40,10000,347,40,10000,347,40,10000,343,40,10000,336,40,10000,332,40,10000,283,40,10000,291,45,10000,308,45,10000,301,45,10000,291,45,10000,284,45,10000,278,45,10000,274,45,10000,267,45,10000,261,45,10000,254,45,10000,244,45,NCNTY01019N01019,"Cherokee County, AL",1,99999,19,25989,3,25855,23988
