CBSA Code,CBSA title,Population 2000,Population 2010,Percent change in population,Population-weighted density 2000,Population-weighted density 2010,Numeric change in population-weighted density 2000 to 2010
,Average of all U.S. metro areas," 636,830 "," 705,786 ",10.8," 6,725.4 "," 6,320.8 ",-404.6
,"Average of U.S. metro areas of 5,000,000 or more"," 7,711,676 "," 8,431,848 ",9.3," 14,229.7 "," 13,328.3 ",-901.4
,"Average of U.S. metro areas of 2,500,000 to 4,999,999"," 3,177,519 "," 3,522,237 ",10.8," 5,838.5 "," 5,549.9 ",-288.7
,"Average of U.S. metro areas of 1,000,000 to 2,499,999"," 1,449,479 "," 1,631,131 ",12.5," 3,685.7 "," 3,489.4 ",-196.3
,"Average of U.S. metro areas of 500,000 to 999,999"," 621,465 "," 699,135 ",12.5," 3,015.1 "," 2,985.5 ",-29.6
,"Average of U.S. metro areas of 250,000 to 499,999"," 315,470 "," 350,299 ",11.0," 2,392.7 "," 2,321.4 ",-71.3
,"Average of U.S. metro areas of less than 250,000"," 134,599 "," 147,527 ",9.6," 1,615.9 "," 1,597.0 ",-19.0
10180,"Abilene, TX Metro Area","160,245","165,252",3.1,"1,903.0","1,771.8",-131.2
10420,"Akron, OH Metro Area","694,960","703,200",1.2,"2,682.9","2,412.8",-270.1
10500,"Albany, GA Metro Area","157,833","157,308",-0.3,952.4,922.7,-29.7
10580,"Albany-Schenectady-Troy, NY Metro Area","825,875","870,716",5.4,"2,858.6","2,944.9",86.3
10740,"Albuquerque, NM Metro Area","729,649","887,077",21.6,"3,310.2","3,518.6",208.4
10780,"Alexandria, LA Metro Area","145,035","153,922",6.1,845.0,803.2,-41.8
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area","740,395","821,173",10.9,"3,643.6","3,889.3",245.7
11020,"Altoona, PA Metro Area","129,144","127,089",-1.6,"2,755.7","2,428.7",-327.0
11100,"Amarillo, TX Metro Area","226,522","249,881",10.3,"2,743.6","2,591.4",-152.2
11180,"Ames, IA Metro Area","79,981","89,542",12.0,"2,382.0","2,343.4",-38.6
11260,"Anchorage, AK Metro Area","319,605","380,821",19.2,"2,930.5","3,006.9",76.4
11300,"Anderson, IN Metro Area","133,358","131,636",-1.3,"1,524.6","1,327.9",-196.8
11340,"Anderson, SC Metro Area","165,740","187,126",12.9,551.1,596.7,45.6
11460,"Ann Arbor, MI Metro Area","322,895","344,791",6.8,"3,606.4","3,363.5",-242.9
11500,"Anniston-Oxford, AL Metro Area","112,249","118,572",5.6,614.4,566.6,-47.8
11540,"Appleton, WI Metro Area","201,602","225,666",11.9,"2,156.5","1,950.0",-206.4
11700,"Asheville, NC Metro Area","369,171","424,858",15.1,662.2,728.7,66.5
12020,"Athens-Clarke County, GA Metro Area","166,079","192,541",15.9,"1,330.2","1,442.5",112.3
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area","4,247,981","5,268,860",24.0,"2,213.3","2,173.0",-40.3
12100,"Atlantic City-Hammonton, NJ Metro Area","252,552","274,549",8.7,"3,601.0","3,412.3",-188.7
12220,"Auburn-Opelika, AL Metro Area","115,092","140,247",21.9,"1,198.5","1,220.9",22.4
12260,"Augusta-Richmond County, GA-SC Metro Area","499,684","556,877",11.4,"1,158.7","1,098.6",-60.0
12420,"Austin-Round Rock-San Marcos, TX Metro Area","1,249,763","1,716,289",37.3,"3,259.2","3,131.5",-127.8
